q,w
0.00,11.30
1.00,12.50
2.00,13.70
3.00,14.90
4.00,16.10
5.00,17.30
6.00,18.50
7.00,19.70
8.00,20.90
9.00,22.10
10.00,23.30
11.00,24.50
12.00,25.70
13.00,26.90
14.00,28.10
15.00,29.30
16.00,30.50
17.00,31.70
18.00,32.90
19.00,34.10
20.00,35.30
21.00,36.50
22.00,37.70
23.00,38.90
24.00,40.10
25.00,41.30
26.00,42.50
27.00,43.70
28.00,44.90
29.00,46.10
30.00,47.30
31.00,48.50
32.00,49.70
33.00,50.90
34.00,52.10
35.00,53.30
36.00,54.50
37.00,55.70
38.00,56.90
39.00,58.10
40.00,59.30
41.00,60.50
42.00,61.70
43.00,62.90
44.00,64.10
45.00,65.30
46.00,66.50
47.00,67.70
48.00,68.90
49.00,70.10
50.00,71.30
51.00,72.50
52.00,73.70
53.00,74.90
54.00,76.10
55.00,77.30
56.00,78.50
57.00,79.70
58.00,80.90
59.00,82.10
60.00,83.30
61.00,84.50
62.00,85.70
63.00,86.90
64.00,88.10
65.00,89.30
66.00,90.50
67.00,91.70
68.00,92.90
69.00,94.10
70.00,95.30
71.00,96.50
72.00,97.70
73.00,98.90
74.00,100.10
75.00,101.30
76.00,102.50
77.00,103.70
78.00,104.90
79.00,106.10
80.00,107.30
81.00,108.50
82.00,109.70
83.00,110.90
84.00,112.10
85.00,113.30
86.00,114.50
87.00,115.70
88.00,116.90
89.00,118.10
90.00,119.30
91.00,120.50
92.00,121.70
93.00,122.90
94.00,124.10
95.00,125.30
96.00,126.50
97.00,127.70
98.00,128.90
99.00,130.10
